Implementation,Claim,Metric,OPT Mean,OPT Min,OPT Max,ABL Mean,ABL Min,ABL Max
OF,C10,Correctness,3/3,,,3/3,,
OF,C11,Cost,3.06,3.057,3.063,3.813,3.811,3.815
OF,C11,Latency,254.0,244.0,261.2,440.4,398.5,505.7
OF,C11,Correctness,3/3,,,3/3,,
OF,C12,Cost,0.049,0.049,0.049,0.049,0.049,0.049
OF,C12,Latency,21.5,20.7,22.7,28.6,27.3,29.5
OF,C12,Correctness,3/3,,,3/3,,
OF,C13,Cost,0.176,0.139,0.195,0.261,0.235,0.274
OF,C13,Latency,44.4,41.6,46.0,53.4,52.3,54.5
OF,C13,Correctness,3/3,,,3/3,,
OF,C16,Cost,0.134,0.114,0.171,1.809,1.8,1.825
OF,C16,Latency,30.0,28.3,32.7,206.6,202.7,213.2
OF,C16,Correctness,3/3,,,3/3,,
SF,C3,Cost,0.478,0.334,0.552,0.484,0.321,0.591
SF,C3,Latency,51.5,40.3,59.9,45.8,32.8,61.3
SF,C3,Correctness,3/3,,,3/3,,
SF,C9,Cost,3.061,3.06,3.062,3.062,3.061,3.063
SF,C9,Latency,258.7,241.9,277.2,402.8,264.5,492.8
SF,C9,Correctness,3/3,,,3/3,,
SF,C10,Cost,0.048,0.048,0.048,0.048,0.048,0.048
SF,C10,Latency,20.3,19.9,20.6,20.3,20.1,20.5
SF,C10,Correctness,3/3,,,3/3,,
SF,C11,Cost,3.06,3.057,3.063,3.061,3.06,3.062
SF,C11,Latency,254.0,244.0,261.2,402.0,373.6,421.2
SF,C11,Correctness,3/3,,,3/3,,
SF,C12,Cost,0.049,0.049,0.049,0.049,0.049,0.049
SF,C12,Latency,21.5,20.7,22.7,22.5,22.3,22.8
SF,C12,Correctness,3/3,,,3/3,,
SF,C13,Cost,0.176,0.139,0.195,0.162,0.125,0.18
SF,C13,Latency,44.4,41.6,46.0,52.2,39.6,70.3
SF,C13,Correctness,3/3,,,3/3,,
SF,C16,Cost,0.134,0.114,0.171,0.14,0.103,0.159
SF,C16,Latency,30.0,28.3,32.7,22.4,20.8,23.7
SF,C16,Correctness,3/3,,,3/3,,
PC,C9,Cost,3.061,3.06,3.062,3.063,3.062,3.063
PC,C9,Latency,258.7,241.9,277.2,271.6,246.1,304.2
PC,C9,Correctness,3/3,,,3/3,,
PC,C10,Cost,0.048,0.048,0.048,3.061,3.06,3.062
PC,C10,Latency,20.3,19.9,20.6,325.3,244.1,392.7
PC,C10,Correctness,3/3,,,3/3,,
PC,C11,Cost,3.06,3.057,3.063,3.062,3.059,3.067
PC,C11,Latency,254.0,244.0,261.2,459.3,379.4,580.4
PC,C11,Correctness,3/3,,,3/3,,
PC,C12,Cost,0.049,0.049,0.049,3.064,3.062,3.068
PC,C12,Latency,21.5,20.7,22.7,381.0,368.4,395.7
PC,C12,Correctness,3/3,,,3/3,,
