claim_id,threshold,recall_mean,recall_min,recall_max,filter_rate_mean,filter_rate_min,filter_rate_max
C21,0.05,1.0,1.0,1.0,0.0004210083149142063,0.000315756236185627,0.000631512472371365
C21,0.15,0.9932260795935649,0.9898391193903472,0.995766299745978,0.01789285338385434,0.013577518155983626,0.025260498894853156
C21,0.25,0.6707592435788879,0.6147332768839966,0.7087214225232854,0.45174192190295753,0.4130091569308494,0.5048942216608778
C21,0.35,0.14916737228337568,0.12404741744284505,0.17231160033869602,0.8863277549731606,0.8680138932743922,0.905904641616672
C21,0.45,0.011148744002257974,0.008890770533446233,0.012701100762066046,0.9915798337017155,0.9902115566782443,0.9933691190401011
C21,0.55,0.0,0.0,0.0,1.0,1.0,1.0
C3,0.05,1.0,1.0,1.0,0.0,0.0,0.0
C3,0.15,1.0,1.0,1.0,0.0037290242386575447,0.003107520198881275,0.004350528278433852
C3,0.25,0.9647371922821023,0.9620758483033932,0.9660678642714571,0.1489538015330433,0.14481044126786824,0.15724052206339345
C3,0.35,0.6021290751829674,0.5708582834331337,0.6227544910179641,0.6956701885228922,0.6817899316345557,0.7172156619018024
C3,0.45,0.11310711909514304,0.10578842315369262,0.1217564870259481,0.9608452454940957,0.9577377252952144,0.9633312616532007
C3,0.55,0.01330671989354624,0.007984031936127744,0.015968063872255488,0.995856639734825,0.9950279676817899,0.997513983840895
C9,0.05,1.0,1.0,1.0,0.0,0.0,0.0
C9,0.15,0.9998006379585327,0.9994019138755981,1.0,0.002390145247288126,0.001654715940430207,0.0027578599007170856
C9,0.25,0.9685007974481659,0.9497607655502392,0.9838516746411483,0.04835447692590548,0.027578599007170412,0.07170435741864312
C9,0.35,0.6965709728867623,0.6088516746411483,0.7811004784688995,0.344916344916345,0.2597904026475455,0.43243243243243246
C9,0.45,0.22368421052631582,0.15311004784688995,0.3008373205741627,0.7931605074462217,0.7214561500275787,0.8587975730832873
C9,0.55,0.008373205741626795,0.0035885167464114833,0.016148325358851676,0.9922779922779922,0.9851075565361279,0.9966905681191396
C16,0.05,1.0,1.0,1.0,0.0,0.0,0.0
C16,0.15,1.0,1.0,1.0,0.01060511540860883,0.0037429819089207506,0.014348097317529618
C16,0.25,1.0,1.0,1.0,0.2618007901850697,0.2220835932626326,0.2913287585776668
C16,0.35,1.0,1.0,1.0,0.569557080474111,0.5439800374298192,0.5926388022457891
C16,0.45,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8465377417342483,0.8409232688708671,0.8521522145976295
C16,0.55,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.9611145768351008,0.9594510293200249,0.9631940112289458
