impl_model,formatted
evg_unopt_ref_query Claude Opus 4.6,"0.94 [0.94, 0.94]"
evg_unopt_ref_query Claude Sonnet 4.6,"0.91 [0.91, 0.91]"
evg_unopt_ref_query Claude Haiku 4.5,"0.83 [0.83, 0.83]"
evg_opt_ref_query Claude Opus 4.6,"0.94 [0.94, 0.95]"
evg_opt_ref_query Claude Sonnet 4.6,"0.89 [0.88, 0.89]"
evg_opt_ref_query Claude Haiku 4.5,"0.82 [0.81, 0.82]"
evg_opt_ref_query Qwen3 VL,"0.89 [0.89, 0.89]"
evg_opt_ref_query Qwen3 Next,"0.86 [0.86, 0.86]"
